MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
BT6,10/2/2002,18.1,18.1,18.1,18.1,8900,19.01,17.2,18.2,-0.1,-0.55,0,0,0
BT6,10/3/2002,18,18,18,18,10300,18.9,17.1,18.1,-0.1,-0.55,0,0,0
BT6,10/4/2002,17.9,17.9,17.9,17.9,3000,18.8,17.01,18,-0.1,-0.56,0,0,0
BT6,10/7/2002,17.9,17.9,17.9,17.9,700,18.8,17.01,17.9,0,0,0,0,0
BT6,10/8/2002,17.4,17.4,17.4,17.4,2000,18.27,16.53,17.9,-0.5,-2.79,0,0,0
BT6,10/9/2002,17,17,17,17,5500,17.85,16.15,17.4,-0.4,-2.3,0,0,0
BT6,10/10/2002,17,17,17,17,19500,17.85,16.15,17,0,0,0,0,0
BT6,10/11/2002,17,17,17,17,2000,17.85,16.15,17,0,0,0,0,0
BT6,10/14/2002,17.2,17.2,17.2,17.2,6800,18.06,16.34,17,0.2,1.18,0,0,0
BT6,10/15/2002,17.4,17.4,17.4,17.4,5100,18.27,16.53,17.2,0.2,1.16,0,0,0
BT6,10/16/2002,17.5,17.5,17.5,17.5,7400,18.38,16.63,17.4,0.1,0.57,0,0,0
BT6,10/17/2002,17.5,17.5,17.5,17.5,2500,18.38,16.63,17.5,0,0,0,0,0
BT6,10/18/2002,17.3,17.3,17.3,17.3,5500,18.17,16.43,17.5,-0.2,-1.14,0,0,0
BT6,10/21/2002,17.3,17.3,17.3,17.3,8100,18.17,16.43,17.3,0,0,0,0,0
BT6,10/22/2002,17.4,17.4,17.4,17.4,11300,18.27,16.53,17.3,0.1,0.58,0,0,0
BT6,10/23/2002,17.5,17.5,17.5,17.5,18300,18.38,16.63,17.4,0.1,0.57,0,0,0
BT6,10/24/2002,17.4,17.4,17.4,17.4,5200,18.27,16.53,17.5,-0.1,-0.57,0,0,0
BT6,10/25/2002,17.3,17.3,17.3,17.3,6500,18.17,16.43,17.4,-0.1,-0.57,0,0,0
BT6,10/28/2002,17.4,17.4,17.4,17.4,8400,18.27,16.53,17.3,0.1,0.58,0,0,0
BT6,10/29/2002,17.3,17.3,17.3,17.3,4400,18.17,16.43,17.4,-0.1,-0.57,0,0,0
BT6,10/30/2002,17.3,17.3,17.3,17.3,2900,18.17,16.43,17.3,0,0,0,0,0
BT6,10/31/2002,17.3,17.3,17.3,17.3,5600,18.17,16.43,17.3,0,0,0,0,0
BT6,11/1/2002,17.3,17.3,17.3,17.3,3500,18.17,16.43,17.3,0,0,0,0,0
BT6,11/4/2002,17.3,17.3,17.3,17.3,6700,18.17,16.43,17.3,0,0,0,0,0
BT6,11/5/2002,17.4,17.4,17.4,17.4,5300,18.27,16.53,17.3,0.1,0.58,0,0,0
BT6,11/6/2002,17.4,17.4,17.4,17.4,1000,18.27,16.53,17.4,0,0,0,0,0
BT6,11/7/2002,17.3,17.3,17.3,17.3,6400,18.17,16.43,17.4,-0.1,-0.57,0,0,0
BT6,11/8/2002,17.3,17.3,17.3,17.3,6000,18.17,16.43,17.3,0,0,0,0,0
BT6,11/11/2002,17.3,17.3,17.3,17.3,17100,18.17,16.43,17.3,0,0,0,0,0
BT6,11/12/2002,17.3,17.3,17.3,17.3,7300,18.17,16.43,17.3,0,0,0,0,0
BT6,11/13/2002,17.4,17.4,17.4,17.4,4200,18.27,16.53,17.3,0.1,0.58,0,0,0
BT6,11/14/2002,17.4,17.4,17.4,17.4,6100,18.27,16.53,17.4,0,0,0,0,0
BT6,11/15/2002,17.4,17.4,17.4,17.4,6800,18.27,16.53,17.4,0,0,0,0,0
BT6,11/18/2002,17.5,17.5,17.5,17.5,2700,18.38,16.63,17.4,0.1,0.57,0,0,0
BT6,11/19/2002,17.5,17.5,17.5,17.5,900,18.38,16.63,17.5,0,0,0,0,0
BT6,11/20/2002,17.5,17.5,17.5,17.5,0,18.38,16.63,17.5,0,0,0,0,0
BT6,11/21/2002,17.4,17.4,17.4,17.4,16500,18.27,16.53,17.5,-0.1,-0.57,0,0,0
BT6,11/22/2002,17.4,17.4,17.4,17.4,5000,18.27,16.53,17.4,0,0,0,0,0
BT6,11/25/2002,17.5,17.5,17.5,17.5,11200,18.38,16.63,17.4,0.1,0.57,0,0,0
BT6,11/26/2002,17.5,17.5,17.5,17.5,8300,18.38,16.63,17.5,0,0,0,0,0
BT6,11/27/2002,17.5,17.5,17.5,17.5,4100,18.38,16.63,17.5,0,0,0,0,0
BT6,11/28/2002,17.5,17.5,17.5,17.5,7700,18.38,16.63,17.5,0,0,0,0,0
BT6,11/29/2002,17.7,17.7,17.7,17.7,9200,18.59,16.82,17.5,0.2,1.14,0,0,0
BT6,12/2/2002,18.2,18.2,18.2,18.2,9500,19.11,17.29,17.7,0.5,2.82,0,0,0
BT6,12/3/2002,18.7,18.7,18.7,18.7,6800,19.64,17.77,18.2,0.5,2.75,0,0,0
BT6,12/4/2002,19.2,19.2,19.2,19.2,15300,20.16,18.24,18.7,0.5,2.67,0,0,0
BT6,12/5/2002,19.2,19.2,19.2,19.2,19900,20.16,18.24,19.2,0,0,0,0,0
BT6,12/6/2002,18.7,18.7,18.7,18.7,12200,19.64,17.77,19.2,-0.5,-2.6,0,0,0
BT6,12/9/2002,18.5,18.5,18.5,18.5,13100,19.43,17.58,18.7,-0.2,-1.07,0,0,0
BT6,12/10/2002,18.6,18.6,18.6,18.6,4800,19.53,17.67,18.5,0.1,0.54,0,0,0
BT6,12/11/2002,18.8,18.8,18.8,18.8,8700,19.74,17.86,18.6,0.2,1.08,0,0,0
BT6,12/12/2002,19,19,19,19,6000,19.95,18.05,18.8,0.2,1.06,0,0,0
BT6,12/13/2002,19,19,19,19,2200,19.95,18.05,19,0,0,0,0,0
BT6,12/16/2002,19,19,19,19,4800,19.95,18.05,19,0,0,0,0,0
BT6,12/17/2002,19.1,19.1,19.1,19.1,16000,20.06,18.15,19,0.1,0.53,0,0,0
BT6,12/18/2002,19.1,19.1,19.1,19.1,9100,20.06,18.15,19.1,0,0,0,0,0
BT6,12/19/2002,19.1,19.1,19.1,19.1,9700,20.06,18.15,19.1,0,0,0,0,0
BT6,12/20/2002,18.8,18.8,18.8,18.8,4400,19.74,17.86,19.1,-0.3,-1.57,0,0,0
BT6,12/23/2002,19,19,19,19,300,19.95,18.05,18.8,0.2,1.06,0,0,0
BT6,12/24/2002,19,19,19,19,1200,19.95,18.05,19,0,0,0,0,0
BT6,12/25/2002,18.7,18.7,18.7,18.7,700,19.64,17.77,19,-0.3,-1.58,0,0,0
BT6,12/26/2002,18.7,18.7,18.7,18.7,3400,19.64,17.77,18.7,0,0,0,0,0
BT6,12/27/2002,18.6,18.6,18.6,18.6,3000,19.53,17.67,18.7,-0.1,-0.53,0,0,0
BT6,12/30/2002,18.6,18.6,18.6,18.6,1100,19.53,17.67,18.6,0,0,0,0,0
BT6,12/31/2002,18.6,18.6,18.6,18.6,2000,19.53,17.67,18.6,0,0,0,0,0
BT6,1/2/2003,18.6,18.6,18.6,18.6,2200,19.53,17.67,18.6,0,0,0,0,0
BT6,1/3/2003,18.6,18.6,18.6,18.6,2000,19.53,17.67,18.6,0,0,0,0,0
BT6,1/6/2003,18.6,18.6,18.6,18.6,4700,19.53,17.67,18.6,0,0,0,0,0
BT6,1/7/2003,18.6,18.6,18.6,18.6,100,19.53,17.67,18.6,0,0,0,0,0
BT6,1/8/2003,18.5,18.5,18.5,18.5,2600,19.43,17.58,18.6,-0.1,-0.54,0,0,0
BT6,1/9/2003,18.5,18.5,18.5,18.5,2100,19.43,17.58,18.5,0,0,0,0,0
BT6,1/10/2003,18.5,18.5,18.5,18.5,3200,19.43,17.58,18.5,0,0,0,0,0
BT6,1/13/2003,18.4,18.4,18.4,18.4,1500,19.32,17.48,18.5,-0.1,-0.54,0,0,0
BT6,1/14/2003,18.2,18.2,18.2,18.2,500,19.11,17.29,18.4,-0.2,-1.09,0,0,0
BT6,1/15/2003,18.1,18.1,18.1,18.1,3200,19.01,17.2,18.2,-0.1,-0.55,0,0,0
BT6,1/16/2003,18.1,18.1,18.1,18.1,3300,19.01,17.2,18.1,0,0,0,0,0
BT6,1/17/2003,18.1,18.1,18.1,18.1,1600,19.01,17.2,18.1,0,0,0,0,0
BT6,1/20/2003,17.8,17.8,17.8,17.8,7500,18.69,16.91,18.1,-0.3,-1.66,0,0,0
BT6,1/21/2003,18,18,18,18,4300,18.9,17.1,17.8,0.2,1.12,0,0,0
BT6,1/22/2003,18,18,18,18,6800,18.9,17.1,18,0,0,0,0,0
BT6,1/23/2003,18,18,18,18,5300,18.9,17.1,18,0,0,0,0,0
BT6,1/24/2003,18.5,18.5,18.5,18.5,2800,19.43,17.58,18,0.5,2.78,0,0,0
BT6,1/27/2003,18.5,18.5,18.5,18.5,2200,19.43,17.58,18.5,0,0,0,0,0
BT6,1/28/2003,18.5,18.5,18.5,18.5,19200,19.43,17.58,18.5,0,0,0,0,0
BT6,2/10/2003,18.5,18.5,18.5,18.5,9300,19.43,17.58,18.5,0,0,0,0,0
BT6,2/11/2003,18,18,18,18,16200,18.9,17.1,18.5,-0.5,-2.7,0,0,0
BT6,2/12/2003,17.8,17.8,17.8,17.8,8700,18.69,16.91,18,-0.2,-1.11,0,0,0
BT6,2/13/2003,18.4,18.4,18.4,18.4,3000,19.32,17.48,17.8,0.6,3.37,0,0,0
BT6,2/14/2003,18.4,18.4,18.4,18.4,2600,19.32,17.48,18.4,0,0,0,0,0
BT6,2/17/2003,18.4,18.4,18.4,18.4,8800,19.32,17.48,18.4,0,0,0,0,0
BT6,2/18/2003,17,17,17,17,2700,17.85,16.15,18.4,-1.4,-7.61,0,0,0
BT6,2/19/2003,17.1,17.1,17.1,17.1,12000,17.95,16.25,17,0.1,0.59,0,0,0
BT6,2/20/2003,17,17,17,17,4000,17.85,16.15,17.1,-0.1,-0.58,0,0,0
BT6,2/21/2003,16.8,16.8,16.8,16.8,1100,17.64,15.96,17,-0.2,-1.18,0,0,0
BT6,2/24/2003,16.8,16.8,16.8,16.8,1900,19.53,17.67,16.8,0,0,0,0,0
BT6,2/25/2003,17.1,17.1,17.1,17.1,1400,17.95,16.25,18.6,-1.5,-8.06,0,0,0
BT6,2/26/2003,17,17,17,17,2700,17.85,16.15,17.1,-0.1,-0.58,0,0,0
BT6,2/27/2003,17,17,17,17,3600,17.85,16.15,17,0,0,0,0,0
BT6,2/28/2003,16.9,16.9,16.9,16.9,5900,17.75,16.06,17,-0.1,-0.59,0,0,0
BT6,3/3/2003,17,17,17,17,1600,17.85,16.15,16.9,0.1,0.59,0,0,0
BT6,3/4/2003,17,17,17,17,1200,17.85,16.15,17,0,0,0,0,0
BT6,3/5/2003,16.9,16.9,16.9,16.9,4500,17.64,15.96,17,-0.1,-0.59,0,0,0
BT6,3/6/2003,16.7,16.7,16.7,16.7,1500,17.54,15.87,16.8,-0.1,-0.6,0,0,0
BT6,3/7/2003,16.7,16.7,16.7,16.7,3100,17.54,15.87,16.7,0,0,0,0,0
BT6,3/10/2003,16.6,16.6,16.6,16.6,3600,17.43,15.77,16.7,-0.1,-0.6,0,0,0
BT6,3/11/2003,16.6,16.6,16.6,16.6,1500,17.43,15.77,16.6,0,0,0,0,0
BT6,3/12/2003,16.6,16.6,16.6,16.6,3400,17.43,15.77,16.6,0,0,0,0,0
BT6,3/13/2003,16.5,16.5,16.5,16.5,1500,17.33,15.68,16.6,-0.1,-0.6,0,0,0
BT6,3/14/2003,16.4,16.4,16.4,16.4,7500,17.22,15.58,16.5,-0.1,-0.61,0,0,0
BT6,3/17/2003,16.4,16.4,16.4,16.4,900,17.22,15.58,16.4,0,0,0,0,0
BT6,3/18/2003,16,16,16,16,4100,16.8,15.2,16.4,-0.4,-2.44,0,0,0
BT6,3/19/2003,16,16,16,16,2900,16.8,15.2,16,0,0,0,0,0
BT6,3/20/2003,16,16,16,16,900,16.8,15.2,16,0,0,0,0,0
BT6,3/21/2003,16,16,16,16,2400,16.8,15.2,16,0,0,0,0,0
BT6,3/24/2003,15.8,15.8,15.8,15.8,2600,16.59,15.01,16,-0.2,-1.25,0,0,0
BT6,3/25/2003,15.5,15.5,15.5,15.5,8000,16.27,14.73,15.8,-0.3,-1.9,0,0,0
BT6,3/26/2003,15.5,15.5,15.5,15.5,5700,16.27,14.73,15.5,0,0,0,0,0
BT6,3/27/2003,15.4,15.4,15.4,15.4,9400,16.17,14.63,15.5,-0.1,-0.65,0,0,0
BT6,3/28/2003,15.5,15.5,15.5,15.5,600,16.27,14.73,15.4,0.1,0.65,0,0,0
BT6,3/31/2003,15.1,15.1,15.1,15.1,9500,15.86,14.35,15.5,-0.4,-2.58,0,0,0
BT6,4/1/2003,14.8,14.8,14.8,14.8,9700,15.54,14.06,15.1,-0.3,-1.99,0,0,0
BT6,4/2/2003,15.5,15.5,15.5,15.5,4900,16.27,14.73,14.8,0.7,4.73,0,0,0
BT6,4/3/2003,15.7,15.7,15.7,15.7,12300,16.49,14.92,15.5,0.2,1.29,0,0,0
BT6,4/4/2003,15.8,15.8,15.8,15.8,12000,16.59,15.01,15.7,0.1,0.64,0,0,0
BT6,4/7/2003,15.8,15.8,15.8,15.8,4800,16.59,15.01,15.8,0,0,0,0,0
BT6,4/8/2003,15.3,15.3,15.3,15.3,4300,16.07,14.54,15.8,-0.5,-3.16,0,0,0
BT6,4/9/2003,15.5,15.5,15.5,15.5,1400,16.07,14.54,15.3,0.2,1.31,0,0,0
BT6,4/10/2003,15.5,15.5,15.5,15.5,2000,16.27,14.73,15.3,0.2,1.31,0,0,0
BT6,4/11/2003,15.8,15.8,15.8,15.8,7600,16.59,15.01,15.5,0.3,1.94,0,0,0
BT6,4/14/2003,15.8,15.8,15.8,15.8,2500,16.59,15.01,15.8,0,0,0,0,0
BT6,4/15/2003,15.6,15.6,15.6,15.6,9100,16.38,14.82,15.8,-0.2,-1.27,0,0,0
BT6,4/16/2003,15.8,15.8,15.8,15.8,100,16.59,15.01,15.6,0.2,1.28,0,0,0
BT6,4/17/2003,15.8,15.8,15.8,15.8,1800,16.59,15.01,15.8,0,0,0,0,0
BT6,4/18/2003,16,16,16,16,6100,16.8,15.2,15.8,0.2,1.27,0,0,0
BT6,4/21/2003,15.8,15.8,15.8,15.8,3300,16.59,15.01,16,-0.2,-1.25,0,0,0
BT6,4/22/2003,15.7,15.7,15.7,15.7,2700,16.49,14.92,15.8,-0.1,-0.63,0,0,0
BT6,4/23/2003,15.9,15.9,15.9,15.9,1400,16.7,15.11,15.7,0.2,1.27,0,0,0
BT6,4/24/2003,15.9,15.9,15.9,15.9,3800,16.7,15.11,15.9,0,0,0,0,0
BT6,4/25/2003,15.9,15.9,15.9,15.9,2700,16.7,15.11,15.9,0,0,0,0,0
BT6,4/28/2003,15.9,15.9,15.9,15.9,1000,16.7,15.11,15.9,0,0,0,0,0
BT6,4/29/2003,15.9,15.9,15.9,15.9,2400,16.7,15.11,15.9,0,0,0,0,0
BT6,5/5/2003,15.9,15.9,15.9,15.9,2700,16.7,15.11,15.9,0,0,0,0,0
BT6,5/6/2003,16,16,16,16,600,16.8,15.2,15.9,0.1,0.63,0,0,0
BT6,5/7/2003,16.3,16.3,16.3,16.3,5200,17.11,15.49,16,0.3,1.88,0,0,0
BT6,5/8/2003,16.5,16.5,16.5,16.5,4100,17.33,15.68,16.3,0.2,1.23,0,0,0
BT6,5/9/2003,16.7,16.7,16.7,16.7,5800,17.54,15.87,16.5,0.2,1.21,0,0,0
BT6,5/12/2003,16.7,16.7,16.7,16.7,3100,17.54,15.87,16.7,0,0,0,0,0
BT6,5/13/2003,16.7,16.7,16.7,16.7,3400,17.54,15.87,16.7,0,0,0,0,0
BT6,5/14/2003,16.5,16.5,16.5,16.5,18200,17.33,15.68,16.7,-0.2,-1.2,0,0,0
BT6,5/15/2003,16.5,16.5,16.5,16.5,13400,17.33,15.68,16.5,0,0,0,0,0
BT6,5/16/2003,16.5,16.5,16.5,16.5,10700,17.33,15.68,16.5,0,0,0,0,0
BT6,5/19/2003,16.5,16.5,16.5,16.5,1300,17.33,15.68,16.5,0,0,0,0,0
BT6,5/20/2003,16.5,16.5,16.1,16.1,100,17.33,15.68,16.5,-0.4,-2.42,0,0,0
BT6,5/21/2003,16.1,16.1,16.1,16.1,1400,17.33,15.68,16.5,-0.4,-2.42,0,0,0
BT6,5/22/2003,16.4,16.4,16.2,16.2,3490,17.01,15.39,16.5,-0.3,-1.82,0,0,0
BT6,5/23/2003,16.3,16.3,16,16,4270,16.8,15.2,16.2,-0.2,-1.23,0,0,0
BT6,5/26/2003,16.1,16.1,16,16,1900,16.8,15.2,16,0,0,0,0,0
BT6,5/27/2003,16,16,16,16,10100,16.8,15.2,16,0,0,0,0,0
BT6,5/28/2003,16,16.1,16,16.1,7290,16.91,15.3,16,0.1,0.63,0,0,0
BT6,5/29/2003,16.1,16.1,16,16,9200,16.8,15.2,16.1,-0.1,-0.62,0,0,0
BT6,5/30/2003,16.1,16.1,16,16,2010,16.8,15.2,16,0,0,0,0,0
BT6,6/2/2003,16,16,16,16,3550,16.8,15.2,16,0,0,0,0,0
BT6,6/3/2003,16,16,16,16,5390,16.8,15.2,16,0,0,0,0,0
BT6,6/4/2003,16,16,16,16,700,16.8,15.2,16,0,0,0,0,0
BT6,6/5/2003,16.3,16.3,16,16,410,16.8,15.2,16,0,0,0,0,0
BT6,6/6/2003,16.1,16.1,16.1,16.1,310,16.91,15.3,16,0.1,0.63,0,0,0
BT6,6/9/2003,16.3,16.3,16.2,16.2,1010,17.01,15.39,16.1,0.1,0.62,0,0,0
BT6,6/10/2003,16.1,16.2,16.1,16.2,730,17.01,15.39,16.2,0,0,0,0,0
BT6,6/11/2003,16.2,16.2,16.2,16.2,1010,17.01,15.39,16.2,0,0,0,0,0
BT6,6/12/2003,16.2,16.2,16.2,16.2,1600,17.01,15.39,16.2,0,0,0,0,0
BT6,6/13/2003,16.2,16.2,16.2,16.2,800,17.01,15.39,16.2,0,0,0,0,0
BT6,6/16/2003,16.1,16.2,16.1,16.2,2810,17.01,15.39,16.2,0,0,0,0,0
BT6,6/17/2003,16.2,16.2,16.2,16.2,19460,17.01,15.39,16.2,0,0,0,0,0
BT6,6/18/2003,16.2,16.3,16.2,16.3,7970,17.11,15.49,16.2,0.1,0.62,0,0,0
BT6,6/19/2003,16.2,16.3,16.2,16.3,3300,17.11,15.49,16.3,0,0,0,0,0
BT6,6/20/2003,16.3,16.3,16.3,16.3,8570,17.11,15.49,16.3,0,0,0,0,0
BT6,6/23/2003,16.3,16.3,16.3,16.3,1010,17.11,15.49,16.3,0,0,0,0,0
BT6,6/24/2003,16.3,16.3,16.3,16.3,1350,17.11,15.49,16.3,0,0,0,0,0
BT6,6/25/2003,16.2,16.3,16.2,16.3,1600,17.11,15.49,16.3,0,0,0,0,0
BT6,6/26/2003,16.3,16.3,16.3,16.3,4000,17.11,15.49,16.3,0,0,0,0,0
BT6,6/27/2003,16.3,16.3,16.3,16.3,510,17.11,15.49,16.3,0,0,0,0,0
BT6,6/30/2003,16.3,16.3,16.2,16.2,2620,17.01,15.39,16.3,-0.1,-0.61,0,0,0
BT6,7/1/2003,16.2,16.3,16.2,16.3,1070,17.11,15.49,16.2,0.1,0.62,0,0,0
BT6,7/2/2003,16.2,16.3,16.2,16.3,3010,17.11,15.49,16.3,0,0,0,0,0
BT6,7/3/2003,16.2,16.2,16.2,16.2,3600,17.01,15.39,16.3,-0.1,-0.61,0,0,0
BT6,7/4/2003,16.3,16.3,16.3,16.3,6190,17.11,15.49,16.2,0.1,0.62,0,0,0
BT6,7/7/2003,16.5,16.9,16.5,16.9,20,17.75,16.06,16.3,0.6,3.68,0,0,0
BT6,7/8/2003,16.9,16.9,16.9,16.9,50,17.75,16.06,16.9,0,0,0,0,0
BT6,7/9/2003,16.9,16.9,16.2,16.2,7010,17.01,15.39,16.9,-0.7,-4.14,0,0,0
BT6,7/10/2003,16.1,16.2,16.1,16.2,18700,17.01,15.39,16.2,0,0,0,0,0
BT6,7/11/2003,16.2,16.2,16.2,16.2,4630,17.01,15.39,16.2,0,0,0,0,0
BT6,7/14/2003,16.2,16.2,16.2,16.2,730,17.01,15.39,16.2,0,0,0,0,0
BT6,7/15/2003,16.2,16.2,16.2,16.2,3460,17.01,15.39,16.2,0,0,0,0,0
BT6,7/16/2003,16.2,16.2,16.2,16.2,11380,17.01,15.39,16.2,0,0,0,0,0
BT6,7/17/2003,16.2,16.2,16.2,16.2,4590,17.01,15.39,16.2,0,0,0,0,0
BT6,7/18/2003,16.3,16.3,16.3,16.3,1010,17.11,15.49,16.2,0.1,0.62,0,0,0
BT6,7/21/2003,16.3,16.3,16.3,16.3,3600,17.11,15.49,16.3,0,0,0,0,0
BT6,7/22/2003,16.3,16.3,16.3,16.3,1400,17.11,15.49,16.3,0,0,0,0,0
BT6,7/23/2003,16.3,16.3,16.1,16.1,1430,16.91,15.3,16.3,-0.2,-1.23,0,0,0
BT6,7/24/2003,16.3,16.3,16.1,16.1,1530,16.91,15.3,16.1,0,0,0,0,0
BT6,7/25/2003,16.1,16.1,16.1,16.1,3540,16.91,15.3,16.1,0,0,0,0,0
BT6,7/28/2003,16.1,16.1,16.1,16.1,3730,16.91,15.3,16.1,0,0,0,0,0
BT6,7/29/2003,16.1,16.3,16.1,16.3,100,17.11,15.49,16.1,0.2,1.24,0,0,0
BT6,7/30/2003,16.3,16.3,16.1,16.1,2130,16.91,15.3,16.3,-0.2,-1.23,0,0,0
BT6,7/31/2003,16.1,16.2,16.1,16.2,300,17.01,15.39,16.1,0.1,0.62,0,0,0
BT6,8/1/2003,16.2,16.2,16,16,2000,16.8,15.2,16.2,-0.2,-1.23,0,0,0
BT6,8/4/2003,15.9,16,15.9,16,740,16.8,15.2,16,0,0,0,0,0
BT6,8/5/2003,15.9,15.9,15.6,15.6,3600,16.38,14.82,16,-0.4,-2.5,0,0,0
BT6,8/6/2003,15.7,15.7,15.3,15.3,1120,16.07,14.54,15.6,-0.3,-1.92,0,0,0
BT6,8/7/2003,15.3,15.3,15.2,15.2,2700,15.96,14.44,15.3,-0.1,-0.65,0,0,0
BT6,8/8/2003,15.2,15.3,15.2,15.3,5010,16.07,14.54,15.2,0.1,0.66,0,0,0
BT6,8/11/2003,15.3,15.3,15.2,15.2,3700,15.96,14.44,15.3,-0.1,-0.65,0,0,0
BT6,8/12/2003,15.2,15.3,15.2,15.3,3570,16.07,14.54,15.2,0.1,0.66,0,0,0
BT6,8/13/2003,15.3,15.3,15.3,15.3,430,16.07,14.54,15.3,0,0,0,0,0
BT6,8/14/2003,15.3,15.3,15.3,15.3,4700,16.07,14.54,15.3,0,0,0,0,0
BT6,8/15/2003,15.4,15.4,15.3,15.3,320,16.07,14.54,15.3,0,0,0,0,0
BT6,8/18/2003,15.4,15.4,15.3,15.3,1400,16.17,14.63,15.3,0,0,0,0,0
BT6,8/19/2003,15.3,15.3,15.3,15.3,1200,16.07,14.54,15.4,-0.1,-0.65,0,0,0
BT6,8/20/2003,15.3,15.5,15.3,15.5,3000,16.27,14.73,15.3,0.2,1.31,0,0,0
BT6,8/21/2003,15.4,15.5,15.4,15.5,3310,16.27,14.73,15.5,0,0,0,0,0
BT6,8/22/2003,15.5,15.5,15.5,15.5,1300,16.27,14.73,15.5,0,0,0,0,0
BT6,8/25/2003,15.3,15.4,15.3,15.4,5980,16.17,14.63,15.5,-0.1,-0.65,0,0,0
BT6,8/26/2003,15.6,15.6,15.6,15.6,100,16.38,14.82,15.4,0.2,1.3,0,0,0
BT6,8/27/2003,15.4,15.4,15.4,15.4,1430,16.17,14.63,15.6,-0.2,-1.28,0,0,0
BT6,8/28/2003,15.4,15.4,15.4,15.4,100,16.17,14.63,15.4,0,0,0,0,0
BT6,8/29/2003,15.4,15.4,15.4,15.4,3010,16.17,14.63,15.4,0,0,0,0,0
BT6,9/3/2003,15.4,15.4,15.2,15.2,1000,15.96,14.44,15.4,-0.2,-1.3,0,0,0
BT6,9/4/2003,15.2,15.4,15.2,15.4,250,16.17,14.63,15.2,0.2,1.32,0,0,0
BT6,9/5/2003,15.4,15.4,15.2,15.2,1280,15.96,14.44,15.4,-0.2,-1.3,0,0,0
BT6,9/8/2003,15.2,15.2,15.1,15.1,3900,15.86,14.35,15.2,-0.1,-0.66,0,0,0
BT6,9/9/2003,15.1,15.1,15.1,15.1,0,15.86,14.35,15.1,0,0,0,0,0
BT6,9/10/2003,15.4,15.4,15.2,15.2,510,15.96,14.44,15.1,0.1,0.66,0,0,0
BT6,9/11/2003,15.2,15.2,15.2,15.2,0,15.96,14.44,15.2,0,0,0,0,0
BT6,9/12/2003,15,15,15,15,3000,15.75,14.25,15.2,-0.2,-1.32,0,0,0
BT6,9/15/2003,15,15,15,15,2900,15.75,14.25,15,0,0,0,0,0
BT6,9/16/2003,15,15,15,15,810,15.75,14.25,15,0,0,0,0,0
BT6,9/17/2003,14.9,14.9,14.8,14.8,3750,15.54,14.06,15,-0.2,-1.33,0,0,0
BT6,9/18/2003,14.8,14.8,14.8,14.8,430,15.54,14.06,14.8,0,0,0,0,0
BT6,9/19/2003,14.8,14.9,14.8,14.9,11270,15.65,14.16,14.8,0.1,0.68,0,0,0
BT6,9/22/2003,14.8,15,14.8,15,13840,15.75,14.25,14.9,0.1,0.67,0,0,0
BT6,9/23/2003,15,15,15,15,0,15.75,14.25,15,0,0,0,0,0
BT6,9/24/2003,15,15,15,15,300,15.75,14.25,15,0,0,0,0,0
BT6,9/25/2003,15,15,15,15,1200,15.75,14.25,15,0,0,0,0,0
BT6,9/26/2003,14.8,14.8,14.8,14.8,1650,15.54,14.06,15,-0.2,-1.33,0,0,0
BT6,9/29/2003,14.8,14.9,14.8,14.9,500,15.65,14.16,14.8,0.1,0.68,0,0,0
BT6,9/30/2003,14.9,14.9,14.8,14.8,2000,15.54,14.06,14.9,-0.1,-0.67,0,0,0
BT6,10/1/2003,14.8,14.8,14.8,14.8,1000,15.54,14.06,14.8,0,0,0,0,0
BT6,10/2/2003,14.8,14.9,14.8,14.9,8050,15.65,14.16,14.8,0.1,0.68,0,0,0
BT6,10/3/2003,14.9,14.9,14.9,14.9,1020,15.65,14.16,14.9,0,0,0,0,0
BT6,10/6/2003,14.9,14.9,14.9,14.9,4400,15.65,14.16,14.9,0,0,0,0,0
BT6,10/7/2003,14.9,14.9,14.9,14.9,400,15.65,14.16,14.9,0,0,0,0,0
BT6,10/8/2003,14.9,14.9,14.9,14.9,500,15.65,14.16,14.9,0,0,0,0,0
BT6,10/9/2003,14.9,14.9,14.9,14.9,2120,15.65,14.16,14.9,0,0,0,0,0
BT6,10/10/2003,14.9,14.9,14.9,14.9,2000,15.65,14.16,14.9,0,0,0,0,0
BT6,10/13/2003,14.9,15,14.9,15,9970,15.75,14.25,14.9,0.1,0.67,0,0,0
BT6,10/14/2003,15,15,15,15,520,15.75,14.25,15,0,0,0,0,0
BT6,10/15/2003,15,15,15,15,13710,15.75,14.25,15,0,0,0,0,0
BT6,10/16/2003,15,15,15,15,10050,15.75,14.25,15,0,0,0,0,0
BT6,10/17/2003,15,15,15,15,0,15.75,14.25,15,0,0,0,0,0
BT6,10/20/2003,15,15,15,15,9900,15.75,14.25,15,0,0,0,0,0
BT6,10/21/2003,15,15,15,15,3500,15.75,14.25,15,0,0,0,0,0
BT6,10/22/2003,14.9,14.9,14.9,14.9,29730,15.65,14.16,15,-0.1,-0.67,0,0,0
BT6,10/23/2003,14.9,14.9,14.8,14.8,16900,15.54,14.06,14.9,-0.1,-0.67,0,0,0
BT6,10/24/2003,14.9,14.9,14.8,14.8,35000,15.54,14.06,14.8,0,0,0,0,0
